iter	MultiClass
0	1.399877016
1	1.249560503
2	1.135131874
3	1.041751468
4	0.9630808003
5	0.8978222954
6	0.840029527
7	0.790899362
8	0.7486006615
9	0.7104902077
10	0.677081075
11	0.647067078
12	0.620877301
13	0.5970812115
14	0.5761796661
15	0.5575545957
16	0.540585847
17	0.524904116
18	0.511083121
19	0.498819107
20	0.4860319149
21	0.4753759278
22	0.4661525722
23	0.4577567799
24	0.4497210545
25	0.4423828579
26	0.43499507
27	0.4286037528
28	0.4227468398
29	0.418054667
30	0.4153639696
31	0.410089067
32	0.4054512158
33	0.4010232317
34	0.3969520458
35	0.3933406528
36	0.3893489257
37	0.3861927395
38	0.3836927702
39	0.3806606317
40	0.3782656838
41	0.3760771084
42	0.3737795043
43	0.3723286519
44	0.3712178594
45	0.3695124952
46	0.3678763836
47	0.3662548142
48	0.3647182148
49	0.3628884309
50	0.3616433626
51	0.3602199742
52	0.359105681
53	0.3579578224
54	0.3567172873
55	0.3556814932
56	0.3548976229
57	0.35376215
58	0.353331132
59	0.3525985127
60	0.351944788
61	0.3510730006
62	0.3502375292
63	0.3493192192
64	0.348860074
65	0.3481160644
66	0.3472739309
67	0.3465766808
68	0.3460741567
69	0.3455157227
70	0.3447369465
71	0.3442611224
72	0.3436550928
73	0.3430915821
74	0.3424325126
75	0.3420321571
76	0.3410324762
77	0.3406474203
78	0.3399153451
79	0.3394711347
80	0.3391405667
81	0.3386873137
82	0.3383885399
83	0.3378975378
84	0.3375451411
85	0.3373028337
86	0.336996228
87	0.3366905541
88	0.336434761
89	0.3359708004
90	0.3357669851
91	0.3352891677
92	0.3348508091
93	0.3346021051
94	0.3341853657
95	0.3338984792
96	0.3336081696
97	0.3332262027
98	0.3328959753
99	0.3325383908
100	0.3324222315
101	0.3321716326
102	0.3317418706
103	0.331479478
104	0.3311943625
105	0.3309010223
106	0.3304138738
107	0.3298851848
108	0.3297284382
109	0.3294329635
110	0.3290520923
111	0.3288081741
112	0.3286744764
113	0.3283292354
114	0.3281080427
115	0.3278631109
116	0.3274921403
117	0.3271678202
118	0.3269082053
119	0.3265556672
120	0.3263046546
121	0.3258519678
122	0.3257233018
123	0.3255678014
124	0.3253762873
125	0.3250928376
126	0.3249128481
127	0.3246092775
128	0.324417262
129	0.3243116477
130	0.3238563813
131	0.3237200761
132	0.3234999694
133	0.3231798925
134	0.3229689256
135	0.3226876447
136	0.322386978
137	0.3221687552
138	0.3219389989
