iter	Passed	Remaining
0	11	11975
1	20	10137
2	29	9796
3	38	9504
4	46	9347
5	55	9262
6	64	9116
7	73	9069
8	82	9054
9	90	8958
10	99	8905
11	107	8859
12	115	8799
13	124	8795
14	134	8802
15	142	8774
16	151	8733
17	159	8707
18	168	8696
19	176	8656
20	185	8654
21	193	8611
22	202	8588
23	210	8567
24	219	8553
25	227	8536
26	236	8522
27	244	8504
28	261	8767
29	270	8734
30	278	8693
31	289	8760
32	299	8766
33	308	8754
34	316	8724
35	325	8719
36	335	8719
37	344	8714
38	352	8678
39	361	8665
40	370	8656
41	379	8653
42	388	8654
43	397	8641
44	406	8620
45	415	8621
46	425	8620
47	436	8651
48	445	8641
49	455	8649
50	463	8625
51	472	8613
52	481	8610
53	490	8601
54	500	8602
55	509	8591
56	517	8559
57	525	8537
58	533	8508
59	541	8487
60	550	8478
61	559	8463
62	568	8454
63	576	8434
64	584	8403
65	593	8393
66	601	8382
67	610	8368
68	620	8375
69	630	8373
70	638	8356
71	646	8332
72	655	8325
73	664	8309
74	672	8293
75	683	8310
76	692	8305
77	701	8296
78	710	8284
79	721	8297
80	730	8293
81	739	8278
82	749	8278
83	757	8263
84	765	8242
85	774	8232
86	782	8214
87	791	8204
88	801	8202
89	810	8197
90	819	8188
91	828	8174
92	836	8157
93	845	8153
94	855	8150
95	864	8141
96	874	8137
97	882	8122
98	891	8117
99	900	8104
100	910	8101
101	918	8085
102	926	8070
103	935	8060
104	944	8053
105	954	8048
106	962	8035
107	970	8014
108	979	8005
109	987	7992
110	995	7975
111	1004	7967
112	1014	7962
113	1023	7953
114	1032	7948
115	1041	7936
116	1049	7917
117	1057	7906
118	1066	7897
119	1075	7883
120	1084	7877
121	1092	7862
122	1101	7856
123	1111	7849
124	1120	7842
125	1129	7836
126	1138	7825
127	1147	7817
128	1156	7806
129	1165	7801
130	1174	7791
131	1183	7783
132	1193	7778
133	1202	7770
134	1211	7762
135	1220	7753
136	1229	7743
137	1236	7724
138	1245	7713
139	1253	7699
140	1263	7694
141	1271	7684
142	1281	7681
143	1291	7674
144	1300	7668
145	1309	7659
146	1318	7651
147	1328	7645
148	1337	7640
149	1347	7633
150	1356	7625
151	1365	7616
152	1373	7605
153	1381	7586
154	1389	7574
155	1398	7565
156	1406	7549
157	1413	7534
158	1423	7527
159	1432	7520
160	1440	7508
161	1449	7495
162	1458	7491
163	1468	7486
164	1476	7472
165	1486	7469
166	1495	7457
167	1503	7447
168	1512	7435
169	1521	7429
170	1530	7417
171	1539	7410
172	1549	7406
173	1558	7399
174	1579	7444
175	1589	7440
176	1599	7437
177	1608	7430
178	1618	7424
179	1627	7415
180	1636	7406
181	1646	7398
182	1654	7387
183	1662	7370
184	1671	7362
185	1680	7353
186	1689	7343
187	1698	7336
188	1707	7328
189	1716	7318
190	1724	7302
191	1731	7286
192	1740	7277
193	1749	7267
194	1757	7257
195	1767	7249
196	1776	7240
197	1785	7233
198	1793	7218
199	1801	7206
200	1811	7200
201	1820	7191
202	1828	7180
203	1837	7169
204	1845	7158
205	1854	7149
206	1863	7140
207	1873	7132
208	1881	7121
209	1890	7113
210	1899	7102
211	1908	7092
212	1916	7082
213	1926	7074
214	1935	7065
215	1944	7057
216	1952	7046
217	1961	7036
218	1970	7026
219	1978	7015
220	1987	7006
221	1995	6994
222	2005	6986
223	2013	6976
224	2023	6968
225	2032	6962
226	2042	6954
227	2050	6943
228	2059	6932
229	2067	6921
230	2075	6910
231	2085	6903
232	2094	6896
233	2104	6888
234	2113	6879
235	2123	6874
236	2131	6863
237	2141	6855
238	2150	6848
239	2159	6839
240	2169	6831
241	2178	6822
242	2187	6814
243	2196	6806
244	2206	6798
245	2215	6790
246	2223	6777
247	2232	6769
248	2241	6761
249	2252	6756
250	2263	6753
251	2273	6747
252	2282	6738
253	2291	6729
254	2301	6722
255	2310	6714
256	2319	6704
257	2328	6695
258	2339	6692
259	2349	6686
260	2360	6683
261	2369	6675
262	2380	6669
263	2391	6665
264	2401	6660
265	2412	6655
266	2421	6648
267	2432	6642
268	2441	6634
269	2450	6626
270	2460	6619
271	2469	6610
272	2479	6601
273	2487	6591
274	2495	6580
275	2505	6572
276	2515	6566
277	2525	6559
278	2534	6550
279	2543	6541
280	2552	6531
281	2563	6525
282	2572	6518
283	2583	6512
284	2596	6513
285	2608	6511
286	2622	6515
287	2631	6505
288	2640	6495
289	2650	6488
290	2659	6480
291	2669	6473
292	2679	6466
293	2689	6458
